Estado;CodigoCatalogo;Marca;Imagen;HojaExcel;FilasExcel;NombreReferencia
LISTO;BSLKN-06;Zoloda;catalogador-v2-257609ff55e0616e.png;ZOLODA Borneras;E48:E52;borne de tierra
LISTO;BSLKN-10;Zoloda;catalogador-v2-257609ff55e0616e.png;ZOLODA Borneras;E48:E52;borne de tierra
LISTO;BSLKN-16;Zoloda;catalogador-v2-257609ff55e0616e.png;ZOLODA Borneras;E48:E52;borne de tierra
LISTO;BSLKN-35;Zoloda;catalogador-v2-257609ff55e0616e.png;ZOLODA Borneras;E48:E52;borne de tierra
LISTO;BT 010 L;DAISA;catalogador-v2-f8c548eebd7cbe91.jpg;DAISA;E188:E201;boquilla
LISTO;BT 034 L;DAISA;catalogador-v2-f8c548eebd7cbe91.jpg;DAISA;E188:E201;boquilla
LISTO;BT 078 L;DAISA;catalogador-v2-f8c548eebd7cbe91.jpg;DAISA;E188:E201;boquilla
LISTO;BT 100 L;DAISA;catalogador-v2-f8c548eebd7cbe91.jpg;DAISA;E188:E201;boquilla
LISTO;BT 110 L;DAISA;catalogador-v2-f8c548eebd7cbe91.jpg;DAISA;E188:E201;boquilla
LISTO;BT 112 L;DAISA;catalogador-v2-f8c548eebd7cbe91.jpg;DAISA;E188:E201;boquilla
LISTO;BT 200 L;DAISA;catalogador-v2-f8c548eebd7cbe91.jpg;DAISA;E188:E201;boquilla
AMBIGUO;BTKS-100-50-BL;Zoloda;catalogador-v2-38d0178fa7067b22.png;ZOLODA Cablecanal;F16:G42;accesorio ckd
AMBIGUO;BTKS-100-50-BL;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E23:E34;accesorio ckd
LISTO;BU 010 L;DAISA;catalogador-v2-f8c548eebd7cbe91.jpg;DAISA;E188:E201;boquilla
LISTO;BU 034 L;DAISA;catalogador-v2-f8c548eebd7cbe91.jpg;DAISA;E188:E201;boquilla
LISTO;BU 078 L;DAISA;catalogador-v2-f8c548eebd7cbe91.jpg;DAISA;E188:E201;boquilla
LISTO;BU 100 L;DAISA;catalogador-v2-f8c548eebd7cbe91.jpg;DAISA;E188:E201;boquilla
LISTO;BU 110 L;DAISA;catalogador-v2-f8c548eebd7cbe91.jpg;DAISA;E188:E201;boquilla
LISTO;BU 112 L;DAISA;catalogador-v2-f8c548eebd7cbe91.jpg;DAISA;E188:E201;boquilla
LISTO;BU 200 L;DAISA;catalogador-v2-f8c548eebd7cbe91.jpg;DAISA;E188:E201;boquilla
LISTO;C 010;DAISA;catalogador-v2-f8de6cec7380a93b.jpg;DAISA;E272:E278;caja múltiple
LISTO;C 034;DAISA;catalogador-v2-f8de6cec7380a93b.jpg;DAISA;E272:E278;caja múltiple
LISTO;C 078;DAISA;catalogador-v2-f8de6cec7380a93b.jpg;DAISA;E272:E278;caja múltiple
LISTO;C 100;DAISA;catalogador-v2-f8de6cec7380a93b.jpg;DAISA;E272:E278;caja múltiple
LISTO;C 110;DAISA;catalogador-v2-f8de6cec7380a93b.jpg;DAISA;E272:E278;caja múltiple
LISTO;C 112;DAISA;catalogador-v2-f8de6cec7380a93b.jpg;DAISA;E272:E278;caja múltiple
LISTO;C 200;DAISA;catalogador-v2-f8de6cec7380a93b.jpg;DAISA;E272:E278;caja múltiple
LISTO;CCD 120;LCT;catalogador-v2-eca52848ddb122cc.png;LCT;filas 222:230;conector en C
LISTO;CCD 150;LCT;catalogador-v2-eca52848ddb122cc.png;LCT;filas 222:230;conector en C
